date,semester_phase
2026-08-06,summer_session
2026-08-07,summer_session
2026-08-08,summer_session
2026-08-09,summer_session
2026-08-10,summer_session
2026-08-11,summer_session
2026-08-12,summer_session
2026-08-13,summer_session
2026-08-14,summer_session
2026-08-15,summer_session
2026-08-16,summer_session
2026-08-17,summer_session
2026-08-18,summer_session
2026-08-19,summer_session
2026-08-20,summer_session
2026-08-21,summer_session
2026-08-22,summer_session
2026-08-23,summer_session
2026-08-24,summer_session
2026-08-25,summer_session
2026-08-26,summer_session
2026-08-27,summer_session
2026-08-28,summer_session
2026-08-29,summer_session
2026-08-30,summer_session
2026-08-31,summer_session
2026-09-01,summer_session
2026-09-02,summer_session
2026-09-03,summer_session
2026-09-04,summer_session
2026-09-05,summer_session
2026-09-06,summer_session
2026-09-07,summer_session
2026-09-08,summer_session
2026-09-09,regular
2026-09-10,regular
2026-09-11,regular
2026-09-12,regular
2026-09-13,regular
2026-09-14,regular
2026-09-15,regular
2026-09-16,regular
2026-09-17,regular
2026-09-18,regular
2026-09-19,regular
2026-09-20,regular
2026-09-21,regular
2026-09-22,regular
2026-09-23,regular
2026-09-24,regular
2026-09-25,regular
2026-09-26,regular
2026-09-27,regular
2026-09-28,regular
2026-09-29,regular
2026-09-30,regular
2026-10-01,regular
2026-10-02,regular
2026-10-03,regular
2026-10-04,regular
2026-10-05,regular
2026-10-06,regular
2026-10-07,regular
2026-10-08,regular
2026-10-09,regular
2026-10-10,regular
2026-10-11,regular
2026-10-12,regular
2026-10-13,regular
2026-10-14,regular
2026-10-15,regular
2026-10-16,regular
2026-10-17,regular
2026-10-18,regular
2026-10-19,regular
2026-10-20,regular
2026-10-21,regular
2026-10-22,regular
2026-10-23,regular
2026-10-24,regular
2026-10-25,regular
2026-10-26,regular
2026-10-27,regular
2026-10-28,regular
2026-10-29,regular
2026-10-30,regular
2026-10-31,regular
2026-11-01,regular
2026-11-02,regular
2026-11-03,regular
2026-11-04,regular
2026-11-05,regular
2026-11-06,regular
2026-11-07,regular
2026-11-08,regular
2026-11-09,regular
2026-11-10,regular
2026-11-11,regular
2026-11-12,regular
2026-11-13,regular
2026-11-14,regular
2026-11-15,regular
2026-11-16,regular
2026-11-17,regular
2026-11-18,regular
2026-11-19,regular
2026-11-20,regular
2026-11-21,regular
2026-11-22,regular
2026-11-23,regular
2026-11-24,regular
2026-11-25,break
2026-11-26,break
2026-11-27,break
2026-11-28,break
2026-11-29,break
2026-11-30,regular
2026-12-01,regular
2026-12-02,regular
2026-12-03,regular
2026-12-04,regular
2026-12-05,regular
2026-12-06,regular
2026-12-07,dead_week
2026-12-08,dead_week
2026-12-09,dead_week
2026-12-10,dead_week
2026-12-11,dead_week
2026-12-12,dead_week
2026-12-13,dead_week
2026-12-14,finals
2026-12-15,finals
2026-12-16,finals
2026-12-17,finals
2026-12-18,finals
2026-12-19,finals
2026-12-20,finals
2026-12-21,break
2026-12-22,break
2026-12-23,break
2026-12-24,break
2026-12-25,break
2026-12-26,break
2026-12-27,break
2026-12-28,break
2026-12-29,break
2026-12-30,break
2026-12-31,break
